Year,Country,Aging rate 
2016,Japan,0.12545086
2017,Japan,0.124010429
2018,Japan,0.122406111
2019,Japan,0.120720488
2020,Japan,0.119157065
2021,Japan,0.117739653
1950,Brazil,0.42532197
1951,Brazil,0.426709546
1952,Brazil,0.428127794
1953,Brazil,0.429506411
1954,Brazil,0.430864504
1955,Brazil,0.432361118
1956,Brazil,0.433960797
1957,Brazil,0.435622944
1958,Brazil,0.43734693
1959,Brazil,0.439126723
1960,Brazil,0.44087737
1961,Brazil,0.442334735
1962,Brazil,0.443241804
1963,Brazil,0.443416651
1964,Brazil,0.442572341
1965,Brazil,0.440927399
1966,Brazil,0.438885739
1967,Brazil,0.43639848
1968,Brazil,0.433454823
1969,Brazil,0.430128474
1970,Brazil,0.426521188
1971,Brazil,0.422699081
1972,Brazil,0.418663722
1973,Brazil,0.414440813
1974,Brazil,0.410009364
1975,Brazil,0.405444059
1976,Brazil,0.400895117
1977,Brazil,0.396397644
1978,Brazil,0.392026907
1979,Brazil,0.387911509
1980,Brazil,0.384175798
1981,Brazil,0.380874066
1982,Brazil,0.377960428
1983,Brazil,0.375323312
1984,Brazil,0.372751664
1985,Brazil,0.37002611
1986,Brazil,0.367058799
1987,Brazil,0.363842726
1988,Brazil,0.360302059
1989,Brazil,0.356486087
1990,Brazil,0.352394632
1991,Brazil,0.347938484
1992,Brazil,0.343081439
1993,Brazil,0.337897244
1994,Brazil,0.332502251
1995,Brazil,0.326958763
1996,Brazil,0.321285806
1997,Brazil,0.315509648
1998,Brazil,0.30975076
1999,Brazil,0.304027518
2000,Brazil,0.298340156
2001,Brazil,0.292743116
2002,Brazil,0.287201688
2003,Brazil,0.281693604
2004,Brazil,0.276372702
2005,Brazil,0.271345491
2006,Brazil,0.266507786
2007,Brazil,0.26178359
2008,Brazil,0.257060485
2009,Brazil,0.252305645
2010,Brazil,0.247547612
2011,Brazil,0.242822399
2012,Brazil,0.23813279
2013,Brazil,0.23343057
2014,Brazil,0.228980911
2015,Brazil,0.224977468
2016,Brazil,0.221115986
2017,Brazil,0.217477752
2018,Brazil,0.214398244
2019,Brazil,0.211451275
2020,Brazil,0.208347706
2021,Brazil,0.205406693
