Year,Country,Aging rate
1982,Japan,0.098024554
1983,Japan,0.100380245
1984,Japan,0.102650004
1985,Japan,0.105413617
1986,Japan,0.108551733
1987,Japan,0.111838539
1988,Japan,0.115411174
1989,Japan,0.119418726
1990,Japan,0.123996575
1991,Japan,0.128981747
1992,Japan,0.134122743
1993,Japan,0.139231231
1994,Japan,0.144403476
1995,Japan,0.149631619
1996,Japan,0.155087809
1997,Japan,0.160812797
1998,Japan,0.166570518
1999,Japan,0.17223758
2000,Japan,0.178048912
2001,Japan,0.184194014
2002,Japan,0.190245836
2003,Japan,0.195687781
2004,Japan,0.200610693
2005,Japan,0.206044136
2006,Japan,0.212572906
2007,Japan,0.219407332
2008,Japan,0.225817576
2009,Japan,0.231658911
2010,Japan,0.236005297
2011,Japan,0.239777767
2012,Japan,0.246474474
2013,Japan,0.255814844
2014,Japan,0.265269842
2015,Japan,0.273282029
2016,Japan,0.279459188
2017,Japan,0.284639853
2018,Japan,0.289016582
2019,Japan,0.292798117
2020,Japan,0.295831794
2021,Japan,0.29787088
1950,Brazil,0.023929782
1951,Brazil,0.024111179
1952,Brazil,0.024340794
1953,Brazil,0.024574965
1954,Brazil,0.024812981
1955,Brazil,0.02506386
1956,Brazil,0.025323734
1957,Brazil,0.025570405
1958,Brazil,0.025799054
1959,Brazil,0.026018744
1960,Brazil,0.026285207
1961,Brazil,0.026671177
1962,Brazil,0.027158828
1963,Brazil,0.027687299
1964,Brazil,0.02823123
1965,Brazil,0.028800473
1966,Brazil,0.029401804
1967,Brazil,0.030011098
1968,Brazil,0.030619168
1969,Brazil,0.031226299
1970,Brazil,0.031825293
1971,Brazil,0.032419361
1972,Brazil,0.033016712
1973,Brazil,0.0336262
1974,Brazil,0.03425945
1975,Brazil,0.034913341
1976,Brazil,0.035567691
1977,Brazil,0.036199772
1978,Brazil,0.036807121
1979,Brazil,0.037398919
1980,Brazil,0.037963493
1981,Brazil,0.03849546
1982,Brazil,0.039009066
1983,Brazil,0.039523008
1984,Brazil,0.040059161
1985,Brazil,0.040634762
1986,Brazil,0.041274616
1987,Brazil,0.042004708
1988,Brazil,0.042827756
1989,Brazil,0.043727908
1990,Brazil,0.044655567
1991,Brazil,0.045600821
1992,Brazil,0.046598779
1993,Brazil,0.047640426
1994,Brazil,0.048698252
1995,Brazil,0.049745611
1996,Brazil,0.05079581
1997,Brazil,0.051864379
1998,Brazil,0.052931236
1999,Brazil,0.053989402
2000,Brazil,0.055037811
2001,Brazil,0.056141765
2002,Brazil,0.057328512
2003,Brazil,0.058586498
2004,Brazil,0.059931004
2005,Brazil,0.061356891
2006,Brazil,0.062847806
2007,Brazil,0.064374949
2008,Brazil,0.06593002
2009,Brazil,0.067503287
2010,Brazil,0.069078881
2011,Brazil,0.070672446
2012,Brazil,0.072378767
2013,Brazil,0.074309824
2014,Brazil,0.076574417
2015,Brazil,0.079062467
2016,Brazil,0.081618507
2017,Brazil,0.084281304
2018,Brazil,0.087055983
2019,Brazil,0.089954108
2020,Brazil,0.092907522
2021,Brazil,0.095810583
