排名,电影名称,上映时间,总票房(元),平均票价,平均场次
98,惊奇队长,2019/3/8,1035322210,37,14
99,刺杀小说家,2021/2/12,1035206560,47,16
100,盗墓笔记,2016/8/5,1004530533,35,27
101,狂暴巨兽,2018/4/13,1003950474,35,13
102,功夫熊猫3,2016/1/29,1001998542,36,25
103,奇幻森林,2016/4/15,979391529,34,24
104,熊出没·重返地球,2022/2/1,978303274,47,16
105,澳门风云2,2015/2/19,974859582,39,36
106,比悲伤更悲伤的故事,2019/3/14,958581977,31,15
107,西游记之大圣归来,2015/7/10,956568650,35,34
108,泰坦尼克号3D,2012/4/10,946225151,45,54
109,哥斯拉2：怪兽之王,2019/5/31,937467065,37,15
110,穿过寒冬拥抱你,2021/12/31,937151433,42,10
111,无名,2023/1/22,931577349,52,17
112,扬名立万,2021/11/11,926751171,38,7
113,深海,2023/1/22,919592718,47,11
114,超时空同居,2018/5/18,903000584,33,12
115,老炮儿,2015/12/24,902797681,31,38
116,阿丽塔：战斗天使,2019/2/22,897091440,38,14
117,绝地逃亡,2016/7/21,889501360,35,25
118,智取威虎山,2014/12/23,884427862,41,28
119,十二生肖,2012/12/20,881836231,40,37
120,银河补习班,2019/7/18,878344827,34,16
121,星际穿越,2014/11/12,876864504,35,23
122,碟中谍5：神秘国度,2015/9/8,869769138,33,26
123,温暖的抱抱,2020/12/31,864554401,37,11
124,冰雪奇缘2,2019/11/22,861560378,34,11
125,我的姐姐,2021/4/2,860190612,37,9
126,夺冠,2020/9/25,835956323,39,11
127,狮子王,2019/7/12,831781488,37,16
128,蚁人2：黄蜂女现身,2018/8/24,831559882,36,15
129,星球大战：原力觉醒,2016/1/9,825575171,37,24
130,唐人街探案,2015/12/31,824419430,32,33
131,从你的全世界路过,2016/9/29,814233297,31,22
132,X战警：天启,2016/6/3,802921306,34,23
133,铃芽之旅,2023/3/24,801470129,33,9
134,反贪风暴4,2019/4/4,799090760,35,11
135,无名之辈,2018/11/16,794541165,35,12
136,你的婚礼,2021/4/30,789259892,38,15
137,北京遇上西雅图之不二情书,2016/4/29,786798743,34,24
138,蜘蛛侠：英雄归来,2017/9/8,774140574,35,16
139,叶问3,2016/3/4,770310238,39,23
140,霍比特人3：五军之战,2015/1/23,766497841,40,30
141,人潮汹涌,2021/2/12,762479653,41,10
142,大闹天竺,2017/1/28,757926841,36,31
143,钢铁侠3,2013/5/1,754867780,42,33
144,无问西东,2018/1/12,754297351,31,18
145,奇异博士,2016/11/4,751700121,35,18
146,神秘巨星,2018/1/19,747068719,30,17
147,天将雄师,2015/2/19,744176999,41,38
148,雷神3：诸神黄昏,2017/11/3,743029016,35,15
149,猩球崛起3：终极之战,2017/9/15,739781830,35,16
150,金刚狼3：殊死一战,2017/3/3,731629392,32,16
151,西游记女儿国,2018/2/16,727382000,40,33
152,终结者：创世纪,2015/8/23,725358558,37,24
153,X战警：逆转未来,2014/5/23,722966192,37,29
154,致我们终将逝去的青春,2013/4/26,719182058,32,36
155,美国队长2：冬日战士,2014/4/4,718534738,39,29
156,熊出没·原始时代,2019/2/5,718144330,39,22
157,私人订制,2013/12/19,713801390,36,30
158,神探大战,2022/7/8,712240729,38,8
159,猩球崛起2：黎明之战,2014/8/29,709232385,37,28
160,狼图腾,2015/2/19,704856966,39,34
161,使徒行者2：谍影行动,2019/8/7,702227993,36,17
162,画皮2,2012/6/28,702105208,41,37
163,铁道飞虎,2016/12/23,699852955,37,18
164,爸爸去哪儿,2014/1/31,696734759,32,40
165,悟空传,2017/7/13,696535000,36,17
166,环太平洋,2013/7/31,694745803,40,38
167,保你平安,2023/3/10,692945187,42,6
168,正义联盟,2017/11/17,690109826,35,13
169,银河护卫队2,2017/5/5,686114862,37,17
170,宠爱,2019/12/31,684113525,35,9
171,九层妖塔,2015/9/30,682940931,34,30
172,明日战记,2022/8/5,679803945,41,7
173,寒战2,2016/7/8,678260116,37,27
174,碟中谍4,2012/1/28,672248019,35,43
175,蚁人,2015/10/16,671764868,36,22
176,摩天营救,2018/7/20,669807160,35,18
177,分手大师,2014/6/27,665440587,33,34
178,黑豹,2018/3/9,662593174,36,17
179,情圣,2016/12/30,658855887,31,18
180,唐山大地震,2010/7/22,650156922,37,51
181,恶棍天使,2015/12/24,649588334,30,40
182,人生路不熟,2023/4/28,648678562,42,16
183,来电狂响,2018/12/28,641456533,35,14
184,大侦探皮卡丘,2019/5/10,640716139,35,10
185,惊天魔盗团2,2016/6/24,638966294,33,27
186,让子弹飞,2010/12/16,636875713,38,47
187,环太平洋2：雷霆再起,2018/3/23,633223366,35,13
188,末日崩塌,2015/6/2,629673401,37,24
189,反贪风暴5：最终章,2021/12/31,629090071,41,9
190,影,2018/9/30,628989145,36,14
191,后会无期,2014/7/24,628812185,32,34
192,新喜剧之王,2019/2/5,628020183,43,24
193,新木乃伊,2017/6/9,625596519,35,16
194,蝙蝠侠大战超人：正义黎明,2016/3/25,619102884,36,23
195,长空之王,2023/4/28,617183098,42,14
196,灌篮高手,2023/4/20,616543592,36,9
197,失控玩家,2021/8/27,612501081,39,7
198,功夫熊猫2,2011/5/28,612024531,38,42
199,神奇女侠,2017/6/2,610117723,36,16
200,一条狗的使命,2017/3/3,608906407,30,15
201,狙击手,2022/2/1,608320209,45,7
202,狄仁杰之四大天王,2018/7/27,606342899,39,18
203,使徒行者,2016/8/11,606313858,29,24
204,熊出没·变形记,2018/2/16,605504865,36,30
205,李茶的姑妈,2018/9/30,604352309,35,15
206,狄仁杰之神都龙王,2013/9/28,600777852,40,30
207,熊出没·狂野大陆,2021/2/12,596557051,43,18
208,银河护卫队,2014/10/10,596123566,39,23
209,金陵十三钗,2011/12/15,592276366,41,40
210,神奇动物在哪里,2016/11/25,591738859,35,21
211,美女与野兽,2017/3/17,591648080,35,16
212,匆匆那年,2014/12/5,588498806,35,24
213,2012世界末日,2009/11/13,587419552,33,46
214,火星救援,2015/11/25,586902148,37,24
215,超凡蜘蛛侠2,2014/5/4,585588811,39,23
216,邪不压正,2018/7/13,583482618,36,16
217,白蛇2：青蛇劫起,2021/7/23,580141640,39,7
218,你的名字。,2016/12/2,576852351,28,22
219,大鱼海棠,2016/7/8,574983640,33,23
220,追龙,2017/9/30,574653658,33,20
221,少年派的奇幻漂流,2012/11/22,572899296,39,38
222,复仇者联盟,2012/5/5,568515746,42,33
223,杀破狼2,2015/6/18,560498280,36,25
224,新神榜：杨戬,2022/8/19,555864937,42,5
225,爱情公寓,2018/8/10,555426519,35,28
226,哥，你好,2022/9/9,548309877,42,4
227,战狼,2015/4/2,545561360,34,25
228,四海,2022/2/1,542947987,53,17
229,007：幽灵党,2015/11/13,542089015,32,28
230,中国合伙人,2013/5/17,540758881,32,27
231,龙门飞甲,2011/12/15,540003965,44,36
232,除暴,2020/11/20,537786305,37,8
233,英伦对决,2017/9/30,536952759,38,19
234,三生三世十里桃花,2017/8/3,534543091,35,24
235,警察故事2013,2013/12/24,534388291,40,25
236,哆啦A梦：伴我同行,2015/5/28,530331264,35,22
237,妖猫传,2017/12/22,530030912,36,23
238,超能陆战队,2015/2/28,527288548,37,25
239,澳门风云,2014/1/31,524794193,32,31
240,熊出没之奇幻空间,2017/1/28,522496636,34,27
241,杀破狼·贪狼,2017/8/17,521572982,32,18
242,小时代3：刺金时代,2014/7/17,521560996,32,33
243,北京遇上西雅图,2013/3/21,520168522,32,31
244,一步之遥,2014/12/18,514947727,42,25
245,愤怒的小鸟,2016/5/20,514014081,32,16
246,滚蛋吧！肿瘤君,2015/8/13,511807947,34,25
247,动物世界,2018/6/29,509678671,37,13
248,1921,2021/7/1,504675632,35,8
249,我在时间尽头等你,2020/8/25,504608479,35,16
250,黑衣人3,2012/5/25,503499232,41,29
251,独立日：卷土重来,2016/6/24,503238288,36,24
252,古墓丽影：源起之战,2018/3/16,497470904,35,14
253,盗梦空间,2010/9/1,496176029,34,33
254,勇敢者游戏：决战丛林,2018/1/12,491952677,34,18
255,哈利·波特与死亡圣器(下),2011/8/4,491385935,48,40
256,小时代4：灵魂尽头,2015/7/9,488423687,31,33
257,千与千寻,2019/6/21,488318602,31,12
258,紧急救援,2020/12/18,485242476,39,9
259,左耳,2015/4/24,485224255,34,25
260,小时代,2013/6/27,484817572,32,32
261,王牌特工：特工学院,2015/3/27,484525511,34,29
262,我不是潘金莲,2016/11/18,483729990,35,19
263,摆渡人,2016/12/23,482974343,33,19
264,哥斯拉,2014/6/13,481419178,38,26
265,厉害了，我的国,2018/3/2,480562657,32,27
266,绿皮书,2019/3/1,478899676,33,13
267,星球大战外传：侠盗一号,2017/1/6,478177728,37,13
268,王牌特工2：黄金圈,2017/10/20,473852838,35,14
269,白蛇：缘起,2019/1/11,467379774,34,10
270,加勒比海盗4：惊涛怪浪,2011/5/20,464410325,38,45
271,霍比特人2：史矛革之战,2014/2/21,462720258,41,26
272,李茂扮太子,2022/1/1,462593633,39,7
273,缝纫机乐队,2017/9/29,456713025,33,16
274,新神榜：哪吒重生,2021/2/12,456483251,44,14
275,非诚勿扰2,2010/12/22,456097160,39,44
276,同桌的妳,2014/4/25,455761595,33,23
277,信条,2020/9/4,455072783,39,10
278,敢死队3,2014/9/1,453267874,32,23
279,2012,2009/12/2,452269844,32,67
280,晴雅集,2020/12/25,451545466,37,16
281,冰川时代4：大陆漂移,2012/7/27,447433269,38,28
282,冰川时代5：星际碰撞,2016/8/23,447303980,32,15
283,谍影重重5,2016/8/23,447137308,33,16
284,奔跑吧！兄弟,2015/1/30,446443502,31,25
285,灰姑娘,2015/3/13,444783220,31,24
286,反贪风暴3,2018/9/14,442986243,36,10
287,星际迷航3：超越星辰,2016/9/2,441012421,35,14
288,峰爆,2021/9/17,438146152,38,8
289,小黄人大眼萌,2015/9/13,435810714,34,20
290,地心引力,2013/11/19,435643163,41,23
291,全球风暴,2017/10/27,433799940,35,13
292,古董局中局,2021/12/3,430007354,38,6
293,蜘蛛侠：平行宇宙,2018/12/21,427604152,36,13
294,血战钢锯岭,2016/12/8,426590228,30,19
295,最好的我们,2019/6/6,417614471,32,10
296,百团大战,2015/8/28,415293630,41,38
297,007：无暇赴死,2021/10/29,414521087,40,7
298,速度与激情6,2013/7/26,413310079,33,33
299,京城81号,2014/7/18,412316117,35,30
300,极品飞车,2014/3/14,411676920,38,22
301,X战警：黑凤凰,2019/6/6,409374624,37,11
302,建党伟业,2011/6/15,409233031,35,37
303,钟馗伏魔：雪妖魔灵,2015/2/19,409232388,40,32
304,星际特工：千星之城,2017/8/25,409197954,35,15
305,北京爱情故事,2014/2/13,406699349,34,26
306,明日边缘,2014/6/6,406416571,38,24
307,扫黑·决战,2021/5/1,405523500,34,9
308,诛仙Ⅰ,2019/9/13,405234238,36,9
309,沐浴之王,2020/12/11,404716886,34,9
310,建军大业,2017/7/27,403770651,33,17
311,变形金刚2,2009/6/24,403664700,32,53
312,想见你,2022/12/24,403593523,41,5
313,驯龙高手2,2014/8/14,403334969,37,24
314,嫌疑人X的献身,2017/3/31,402033261,34,15
315,道士下山,2015/7/2,400784996,40,24
316,拆弹专家,2017/4/28,400494451,33,20
317,神奇动物：格林德沃之罪,2018/11/16,398908036,38,12
318,疯狂原始人,2013/4/20,394759622,37,28
319,超人：钢铁之躯,2013/6/20,394489934,41,28
320,交换人生,2023/1/22,393604219,50,13
321,忍者神龟2：破影而出,2016/7/2,393601481,34,22
322,建国大业,2009/9/16,393287237,32,54
323,爱宠大机密1,2016/8/2,389249074,32,22
324,白发魔女传之明月天国,2014/7/31,389147938,38,24
325,爱丽丝梦游仙境2：镜中奇遇记,2016/5/27,387151276,33,15
326,忍者神龟：变种时代,2014/10/31,386793249,37,19
327,盛夏未来,2021/7/30,386734188,37,6
328,地心历险记2：神秘岛,2012/2/10,386546482,42,31
329,爵迹,2016/9/30,382905436,34,18
330,我要我们在一起,2021/5/20,381771455,36,7
331,“大”人物,2019/1/10,381049434,36,9
332,栀子花开,2015/7/10,379008278,32,32
333,荒野猎人,2016/3/18,377400507,30,22
334,何以为家,2019/4/29,376842187,31,10
335,心灵奇旅,2020/12/25,376195963,38,9
336,007：大破天幕杀机,2013/1/21,376154554,35,29
337,快把我哥带走,2018/8/17,375313695,32,15
338,一九四二,2012/11/29,371134033,37,31
339,火锅英雄,2016/4/1,370536706,32,17
340,阿拉丁,2019/5/24,368239943,37,10
341,驯龙高手3,2019/3/1,368108760,36,11
342,重返20岁,2015/1/8,366123900,31,19
343,大话西游3,2016/9/14,366047533,33,13
344,妖铃铃,2017/12/29,363035837,35,20
345,泰坦尼克号,1998/4/3,359500000,20,0
346,我的少女时代,2015/11/19,359472342,28,25
347,幕后玩家,2018/4/28,358611072,35,13
348,悲伤逆流成河,2018/9/21,357419284,34,11
349,老师·好,2019/3/22,355773600,34,9
350,终结者：黑暗命运,2019/11/1,355447545,33,11
351,超人总动员2,2018/6/22,354383968,35,12
352,何以笙箫默,2015/4/30,353515255,33,19
353,疯狂原始人2,2020/11/27,353258413,35,8
354,星际迷航：暗黑无界,2013/5/28,352976153,41,23
355,侏罗纪公园,2013/8/20,349469516,38,26
356,沉睡魔咒2,2019/10/18,346308072,35,11
357,亲爱的,2014/9/25,344966608,34,22
358,雷神2：黑暗世界,2013/11/8,342396542,39,22
359,伦敦陷落,2016/4/8,339816536,32,16
360,敦刻尔克,2017/9/1,339602481,34,12
361,机械师2：复活,2016/10/21,338979401,32,14
362,蝙蝠侠：黑暗骑士崛起,2012/8/27,338787802,37,29
363,特种部队2：全面反击,2013/4/15,338058652,40,25
364,致青春·原来你还在这里,2016/7/8,336855592,30,23
365,坏蛋联盟,2022/4/29,335232580,34,4
366,如果声音不记得,2020/12/4,335158580,36,7
367,敢死队2,2012/9/4,332188236,32,26
368,调音师,2019/4/3,325322127,32,10
369,我的特工爷爷,2016/4/1,324450478,31,17
370,神偷奶爸2,2014/1/10,324106818,37,22
371,博物馆奇妙夜3,2015/1/4,323088210,33,17
372,万万没想到,2015/12/18,322510476,29,24
373,横冲直撞好莱坞,2015/6/26,322359125,36,19
374,失恋33天,2011/11/8,320539634,32,37
375,空天猎,2017/9/29,317752971,35,19
376,黄金兄弟,2018/9/21,317488476,34,11
377,霍比特人1：意外旅程,2013/2/22,316285413,44,27
378,移动迷宫3：死亡解药,2018/1/26,315275203,35,12
379,罗小黑战记,2019/9/7,315273129,33,8
380,机械战警,2014/2/28,314866583,37,19
381,风暴,2013/12/12,314752146,39,23
382,超凡蜘蛛侠,2012/8/27,314566697,41,26
383,太空旅客,2017/1/13,314489117,35,12
384,绝望主夫,2022/12/31,313679096,41,5
385,一点就到家,2020/10/4,312880938,37,8
386,异形：契约,2017/6/16,311165530,32,13
387,超级战舰,2012/4/18,310107332,34,31
388,追龙Ⅱ,2019/6/6,309301849,36,11
389,窃听风云3,2014/5/29,308701572,34,21
390,黑衣人：全球追缉,2019/6/14,308136079,37,8
391,泰山归来：险战丛林,2016/7/19,306122559,34,19
392,机器之血,2017/12/22,305329677,34,18
393,烈日灼心,2015/8/27,305278201,31,21
394,心理罪,2017/8/11,303973816,33,20
395,天机·富春山居图,2013/6/9,300318665,39,24
396,奇门遁甲,2017/12/14,299644403,34,14
397,冰雪奇缘,2014/2/5,298395602,37,27
398,沉睡魔咒,2014/6/20,296542239,37,24
399,小时代2：青木时代,2013/8/8,296298083,31,29
400,熊出没之雪岭熊风,2015/1/30,295719115,34,23
401,雷霆沙赞！,2019/4/5,294896033,37,8
402,决战中途岛,2019/11/8,294488035,32,9
403,急先锋,2020/9/30,293809157,38,9
404,记忆大师,2017/4/28,292921425,35,17
405,二代妖精之今生有幸,2017/12/29,292172345,35,18
406,归来,2014/5/16,291470127,34,19
407,满城尽带黄金甲,2006/12/14,291032268,41124,21
408,变形金刚,2007/7/11,290572147,1330,62
409,勇敢者游戏2：再战巅峰,2019/12/6,289458681,35,9
410,一代宗师,2013/1/8,289239387,36,25
411,天气之子,2019/11/1,288486244,31,11
412,熊出没之熊心归来,2016/1/16,287753658,31,20
413,死侍2：我爱我家,2019/1/25,286869908,33,8
414,小小的愿望,2019/9/12,286574124,34,9
415,微爱之渐入佳境,2014/12/24,286372354,34,20
416,忠犬八公,2023/3/31,286242016,37,6
417,狄仁杰之通天帝国,2010/9/29,286199039,33,40
418,小萝莉的猴神大叔,2018/3/2,285597720,31,17
419,找到你,2018/10/5,285283959,32,9
420,咱们结婚吧,2015/4/2,284491363,33,22
421,木星上行,2015/3/6,284394604,38,18
422,不二神探,2013/6/21,284005218,31,25
423,封神传奇,2016/7/29,283972414,34,18
424,有一个地方只有我们知道,2015/2/10,283653563,33,23
425,地球最后的夜晚,2018/12/31,282197526,38,34
426,超体,2014/10/24,277954687,38,18
427,哆啦A梦：伴我同行2,2021/5/28,277572610,34,7
428,花木兰,2020/9/11,277331182,36,7
429,赤壁(上),2008/7/10,276859776,33,41
430,微微一笑很倾城,2016/8/12,275848727,32,17
431,侍神令,2021/2/12,274090653,46,15
432,催眠大师,2014/4/29,274009436,32,20
433,厨子戏子痞子,2013/3/29,272839263,31,26
434,蚁人与黄蜂女：量子狂潮,2023/2/17,272322253,41,5
435,无敌破坏王2：大闹互联网,2018/11/23,271172296,35,10
436,天才枪手,2017/10/13,270655755,30,12
437,十月围城,2009/12/17,269429668,34,51
438,星球大战：最后的绝地武士,2018/1/5,267938801,37,14
439,绣春刀II：修罗战场,2017/7/19,265722323,31,13
440,当男人恋爱时,2021/6/11,264169248,32,6
441,胖子行动队,2018/9/30,261066224,34,12
442,爱情神话,2021/12/24,260473342,42,7
443,王牌逗王牌,2016/9/30,260342404,30,18
444,异星战场,2012/3/16,260106283,40,25
445,无人区,2013/12/3,259627508,31,21
446,卧虎藏龙：青冥宝剑,2016/2/19,256250711,36,16
447,犯罪现场,2019/10/12,255147132,36,11
448,海底总动员2：多莉去哪儿,2016/6/17,254232003,32,14
449,金蝉脱壳,2013/11/4,253884785,31,22
450,沙丘,2021/10/22,253880727,42,7
451,马达加斯加的企鹅,2014/11/14,253212425,35,22
452,寒战,2012/11/8,253036591,32,21
453,蓝精灵,2011/8/10,252524842,38,38
454,速度与激情5,2011/5/12,252166967,32,38
455,前任2：备胎反击战,2015/11/6,252002466,30,19
456,非诚勿扰,2008/12/18,250793221,34,49
457,英雄,2002/12/24,250009866,110088,28
458,我为你牺牲,2019/12/5,249889335,65,32
459,金刚狼2,2013/10/17,249708212,37,18
460,雄狮少年,2021/12/17,249627424,39,5
461,寂静之地2,2021/5/28,249499074,35,7
462,极盗者,2015/12/4,248549087,33,17
463,熊出没之夺宝熊兵,2014/1/17,248084247,35,23
464,爱乐之城,2017/2/14,247814051,34,16
465,这么多年,2023/4/28,246721643,41,12
466,追虎擒龙,2021/5/1,243647539,38,10
467,赤壁(下),2009/1/7,243539620,34,49
468,里约大冒险2,2014/4/11,242458615,36,22
469,门锁,2021/11/19,242238935,34,5
470,三枪拍案惊奇,2009/12/10,239376221,33,45
471,小黄人大眼萌：神偷奶爸前传,2022/8/19,238059797,35,6
472,扫毒,2013/11/29,237909927,32,22
473,侠盗联盟,2017/8/11,237031755,31,21
474,双子杀手,2019/10/18,235888452,38,10
475,神战：权力之眼,2016/3/11,235425266,34,16
476,大红包,2021/1/22,235357395,33,6
477,南极之恋,2018/2/1,234483398,32,11
478,密室逃生,2019/1/18,232883577,32,10
479,断·桥,2022/8/13,232709147,40,7
480,听风者,2012/8/7,232200061,35,26
481,名侦探柯南：绀青之拳,2019/9/13,232047322,31,9
482,以年为单位的恋爱,2021/12/31,231995737,38,7
483,叶问2：宗师传奇,2010/4/27,231080827,33,35
484,撒娇女人最好命,2014/11/28,230485397,33,16
485,东方快车谋杀案,2017/11/10,230034726,31,12
486,爱丽丝梦游仙境,2010/3/26,228751275,47,39
487,一生一世,2014/9/5,228505997,32,18
488,大约在冬季,2019/11/15,228073642,35,7
489,海洋奇缘,2016/11/25,227022236,31,17
490,洛杉矶之战,2011/3/18,226023878,32,32
491,饥饿游戏3：嘲笑鸟(上),2015/2/8,225101668,38,19
492,两只老虎,2019/11/29,224699142,34,8
493,心理罪之城市之光,2017/12/22,224089382,33,18
494,外太空的莫扎特,2022/7/15,224079193,41,6
495,精灵旅社3：疯狂假期,2018/8/17,223614147,34,13
496,爸爸去哪儿2,2015/2/19,223515937,32,30
497,普罗米修斯,2012/9/2,223211001,40,23
498,解忧杂货店,2017/12/29,223047020,33,19
499,平凡英雄,2022/9/30,222460353,39,4
500,寂静之地,2018/5/18,220933600,31,10
501,受益人,2019/11/8,219670810,35,8
502,京城81号2,2017/7/6,218874621,35,13
503,铁血战士,2018/10/26,216869908,35,6
504,敢死队,2010/8/20,216293714,32,37
505,欢乐好声音,2017/2/17,216205554,34,12
506,失孤,2015/3/20,216179172,31,17
507,名侦探柯南：绯色的子弹,2021/4/17,216091543,34,5
508,我是证人,2015/10/30,215271627,32,17
509,秘密访客,2021/5/1,214877899,38,10
510,重返地球,2013/7/12,214614070,33,25
511,盲探,2013/7/4,214197563,32,26
512,赏金猎人,2016/7/1,213506258,32,19
513,谍影重重4,2012/10/25,213148965,33,22
514,新少林寺,2011/1/19,212543119,36,34
515,喜欢你,2017/4/27,210747683,35,16
516,哈利·波特与死亡圣器(上),2010/11/19,210632597,32,38
517,龙马精神,2023/4/7,210628882,42,4
518,集结号,2007/12/20,210418490,87,25
519,起跑线,2018/4/4,210386420,31,10
520,马达加斯加3,2012/6/8,210077972,39,23
521,赤道,2015/4/30,209738053,39,19
522,怪兽大学,2013/8/23,209678518,37,22
523,哆啦A梦：大雄的金银岛,2018/6/1,209287559,30,10
524,反贪风暴2,2016/9/14,209093978,29,13
525,窃听风云2,2011/8/18,208934989,33,30
526,老男孩之猛龙过江,2014/7/10,208873265,31,26
527,帕丁顿熊2,2017/12/8,206388150,29,11
528,回廊亭,2023/3/10,205491860,42,4
529,风声,2009/9/29,205195243,33,40
530,航海王：狂热行动,2019/10/18,205035030,31,10
531,闺蜜,2014/7/30,204944881,32,23
532,画皮,2008/9/26,204708158,30,41
533,飓风营救3,2015/3/20,204389641,37,15
534,痞子英雄2：黎明升起,2014/10/1,204287544,37,20
535,猛虫过江,2018/6/15,203646240,32,11
536,南方车站的聚会,2019/12/6,203075980,35,8
537,攻壳机动队,2017/4/7,202558536,36,9
538,名侦探柯南：万圣节的新娘,2022/3/18,201833951,33,4
539,虎胆龙威5,2013/3/14,201257891,32,19
540,逆时营救,2017/6/29,201233079,35,12
541,玩具总动员4,2019/6/21,200837510,35,9
542,利刃出鞘,2019/11/29,200428863,34,10
543,101次求婚,2013/2/12,200006484,34,25
544,四大名捕,2012/7/12,199853264,32,24
545,单身男女2,2014/11/11,198580991,33,17
