电影名称,导演,电影类型,国家,上映年份,评分,评论人数
青蛇,徐克,剧情/爱情/奇幻/古装,中国香港 / 中国大陆,1993,8.6,514599
终结者2：审判日,詹姆斯·卡梅隆,动作/科幻,美国 / 法国,1991,8.8,336133
罗生门,黑泽明,剧情/悬疑/犯罪,日本,1950,8.8,308712
萤火虫之墓,高畑勋,剧情/动画/战争,日本,1988,8.7,400110
疯狂的麦克斯4：狂暴之路,乔治·米勒,动作/科幻/冒险,澳大利亚 / 美国,2015,8.7,518381
新龙门客栈,李惠民,动作/爱情/武侠/古装,中国香港 / 中国大陆,1992,8.7,435253
千钧一发,安德鲁·尼科尔,剧情/科幻/惊悚,美国,1997,8.8,291130
无耻混蛋,昆汀·塔伦蒂诺,剧情/犯罪,德国 / 美国,2009,8.6,466921
崖上的波妞,宫崎骏,动画/奇幻/冒险,日本,2008,8.6,484394
奇迹男孩,斯蒂芬·卓博斯基,剧情/家庭/儿童,美国 / 中国香港,2017,8.6,544540
末路狂花,雷德利·斯科特,剧情/惊悚/犯罪,美国 / 英国 / 法国,1991,8.9,246391
二十二,郭柯,纪录片,中国大陆,2015,8.7,288124
彗星来的那一夜,詹姆斯·沃德·布柯特,科幻/悬疑/惊悚,美国 / 英国,2013,8.6,566303
黑客帝国2：重装上阵,拉娜·沃卓斯基,动作/科幻,美国,2003,8.7,399475
血钻,爱德华·兹威克,剧情/惊悚/冒险,美国 / 德国 / 英国,2006,8.7,373630
花束般的恋爱,土井裕泰,剧情/爱情,日本,2021,8.6,597186
爱乐之城,达米恩·查泽雷,剧情/爱情/歌舞,美国,2016,8.4,876711
房间,伦尼·阿伯拉罕森,剧情/家庭,爱尔兰 / 加拿大 / 英国 / 美国,2015,8.8,363922
战争之王,安德鲁·尼科尔,剧情/犯罪,法国 / 德国 / 美国,2005,8.7,361900
步履不停,是枝裕和,剧情/家庭,日本,2008,8.8,274448
魂断蓝桥,茂文·勒鲁瓦,剧情/爱情/战争,美国,1940,8.8,273567
火星救援,雷德利·斯科特,剧情/科幻/冒险,英国 / 美国 / 匈牙利 / 约旦,2015,8.5,713105
芙蓉镇,谢晋,剧情/爱情,中国大陆,1987,9.3,130773
哈利·波特与死亡圣器(上),大卫·叶茨,奇幻/冒险,英国 / 美国,2010,8.5,559785
千年女优,今敏,剧情/爱情/动画,日本,2001,8.8,260650
谍影重重2,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国,2004,8.7,345995
阿飞正传,王家卫,剧情/爱情/犯罪,中国香港,1990,8.5,502666
燃情岁月,爱德华·兹威克,剧情/爱情/战争/西部,美国,1994,8.8,282049
弱点,约翰·李·汉考克,剧情/家庭/传记/运动,美国,2009,8.7,300809
谍影重重,道格·里曼,动作/悬疑/惊悚,美国 / 德国 / 捷克,2002,8.6,417990
朗读者,史蒂芬·戴德利,剧情/爱情,美国 / 德国,2008,8.6,448455
再次出发之纽约遇见你,约翰·卡尼,喜剧/爱情/音乐,美国,2013,8.6,420754
哈利·波特与凤凰社,大卫·叶茨,奇幻/冒险,英国 / 美国,2007,8.5,551957
香水,汤姆·提克威,剧情/犯罪/奇幻,德国 / 法国 / 西班牙 / 美国 / 比利时,2006,8.5,536838
白日梦想家,本·斯蒂勒,剧情/喜剧/冒险,美国 / 英国,2013,8.6,456041
海洋,雅克·贝汉,纪录片,法国 / 瑞士 / 西班牙 / 美国 / 阿联酋 / 摩纳哥,2009,9.1,155128
穿越时空的少女,细田守,剧情/爱情/科幻/动画,日本,2006,8.6,376301
